time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0:00:04		Walker declines to order wine; states she'll just drink water.	Speaker
0:00:09		Walker sighs loudly.	Speaker
0:00:14		Walker explains that earlier in the day she was a guest on <a href="https://web.archive.org/web/20160414070153/http://www.acmewebpages.net/rosie/episod00.htm">an episode of the Rosie O'Donnell Show.</a>	Speaker
0:00:21		Walker says she used to walk in Washington Square Park when she lived nearby.	Speaker
0:00:36		Walker clarifies that she lived in student dorms at NYU with her then boyfriend (and later husband) in the late 1960s.	Speaker
0:01:10		Walker leaves to wash her hands.	Speaker
0:01:33		Walker laughs quietly.	Speaker
0:00:50	0:01:50	Gussow and Walker discuss how close their children are in age and the fact that they lived nearby each other (in the Washington Square Park area) in the late 1960s.	Speaker
0:02:01		Walker initiates a "cheers".	Speaker
0:02:06		Walker laughs more loudly.	Speaker
0:03:27	0:03:32	"The violence is not gonna work for me. I don't care who's doing it. There's just no end to it."	Speaker
0:04:05	0:04:09	"In a way, it just isn't radical enough. Violence—it's not radical enough."	Speaker
0:04:12	0:04:24	"Well, actually love is more radical than violence. And it's more subversive, generally. And it's harder to do. And that's why people would rather, you know, have violence."	Speaker
0:04:23		Walker laughs loudly.	Speaker
0:05:11		Walker laughs.	Speaker
0:05:22		"People do change. And they change radically."	Speaker
0:06:22		Walker attributes a family history of alcoholism to Irish-Scottish ancestry.	Speaker
0:07:04		On her grandfather's past abuse of her grandmother: "I feel that I was born partly to heal that, to look at it and see who they both were in essence."	Speaker
0:07:31		Walker confirms her grandfather was a "role model" for the character of "Mister" in <em>The Color Purple</em>.	Speaker
0:08:06		Walker on her ex-husband: "He's a very good man."	Speaker
0:07:50	0:09:22	Walker describes the nature of her relationship with her ex-husband.	Speaker
0:08:40		Walker says her marriage (the first interracial marriage in Mississippi) changed the state "a lot".	Speaker
0:09:20	0:10:52	Walker discusses being tired and how it changes her as a person.	Speaker
0:11:11	0:11:23	Walker on her grandfather's domestic abuse: "He had no other outlet for this kind of anger. If he had been angry at the white people who were actually the basic oppressors, he would've been killed right away."	Speaker
0:12:34		Walker says she's never been to this restaurant before and asks what Gussow recommends she order.	Speaker
0:13:40		Walker laughs.	Speaker
0:13:32	0:14:08	Walker orders a special dish with scallops, beans, and mushrooms, as well as a small green salad, and an iced tea.	Speaker
0:14:37	0:15:06	Walker details a conversation she had with <a href="https://en.wikipedia.org/wiki/Mililani_Trask">Mililani Trask</a>, a Hawaiin political leader, about publishing a collection of short stories.	Speaker
0:15:12	0:15:52	Walker describes her marriage as a "cocoon".	Speaker
0:16:00	0:16:07	Walker attributes her prioritization of friendships over romantic relationships to her astrological sign, Aquarius.	Speaker
