time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0:00:31	0:00:48	"For a class on film to use that film and the book and the screenplay, just to really show how these things work and how they can be changed."	Speaker
0:01:14	0:01:48	"I know some people have a problem with this, but I was never—I didn't feel threatened by collaboration. I was excited by it. It amused me to see how people—to see peoples' take on certain things, and I kind of knew we were creating something different. I guess what I really was concerned about was that it keep all the heart and the spirit."	Speaker
0:01:53	0:02:00	Walker expresses regret that the character Mister is not "embraced" at the end of the film adaptation.	Speaker
0:02:20		Walker says actor Danny Glover "did a fine thing" by researching her grandfather to prepare for his role in the film.	Speaker
0:02:55	0:03:00	Walker says <em>Meridian</em> would become a movie "one day"—she hopes.	Speaker
0:03:08	0:04:04	Walker explains that she thinks the civil rights movement should be told "from a personal point of view".	Speaker
0:03:40	0:04:04	"What about the girls who were just coming to life at that time and understanding what was happening, what the possibility was for a different kind of life? What about the young men who were beaten up so badly or were killed? What about their love relationships, their relationships with their parents?	Speaker
0:04:04	0:04:27	"When I was writing [<em>Meridian</em>], I was really very conscious of wanting to leave a record of the interior life—because I figured we'd all see enough of firehoses and dogs and police and [indistinct]—but we wouldn't see those little acts of heroism."	Speaker
0:04:27	0:04:51	Walker explains that a mayor in Mississippi displayed a tank ("Thompson's tank") to intimidate civil rights activists.	Speaker
0:04:55	0:05:07	Facing the real threat of violence in the South "was preferable to feeling afraid in the North and not being able to go home."	Speaker
0:05:07	0:06:00	Walker explains that most of her siblings left the South and never returned.	Speaker
0:06:54	0:07:27	"I think it's another kind of gfit—that sometimes when you're wounded, or you have such incredible suffering, your people are put in concentration camps or your people are lynched or your people are disappeared—you know, what do you do with it? What do you do with it? If you can't make art, what are you gonna do?"	Speaker
0:07:26		Walker laughs.	Speaker
0:07:30		Walker says that repression of suffering can lead people to commit suicide or abuse others.	Speaker
0:08:06	0:08:42	Walker and Gussow discuss why someone might not share their trauma—shame, embarrassment, "maybe a degree of disbelief".	Speaker
0:08:51	0:09:58	"I remember when I was going around talking about female genital mutilation, especially in London, where they had recently—they were trying to pass a law to stop it from happening in London. And I remember an African woman once saying to me that she was upset because I was working on this, she said because now every time someone sees an African woman on the street, this is what they'll be thinking, and how embarrassing and how humiliating—and it is. However, so I said to her, well, what is the alternative? What is the alternative? And we just sat there with that between us. Because the alternative is that you do nothing and then every African woman you see, or so many that you see, will have been wounded as children and nobody will have said a thing about it and it'll just keep going on."	Speaker
0:10:18	0:10:53	On why her political beliefs don't necessarily push her to keep up a writing career: "Maybe what's being born is something that's not so interested in adversity. Or maybe what's being born is something that wants to just go and be with the adversity and not write about it. Just be the person who's there to hold somebody, I mean, that's important. And sometimes I think that's where writing is leading. Which is fine—just drop the pen and grab the person."	Speaker
0:10:54		Walker laughs.	Speaker
0:11:16	0:13:12	Walker is asked how her poetry and her fiction are related; she says that poetry "often comes first" and "sends a signal" for later development through fiction.	Speaker
0:11:20		Walker mentions being at a reading in Chicago "a couple of nights ago" and the writing she selected to read.	Speaker
0:13:03	0:13:12	"When I thought I was, quote, just writing poetry, I was also marking these places that needed to be looked at more."	Speaker
0:13:29	0:14:18	Walker says she "can't really" stop writing poetry while she works on novels or short stories, though she does write less poetry at those times because she's "so present" for the events of the novel—"although sometimes the characters write poetry."	Speaker
0:13:35	0:13:51	"Of all of them, poetry is the most free. It just chooses its own time. And I just hope I'm there to get it."	Speaker
0:14:12		Walker laughs.	Speaker
0:14:44		Walker describes her experience on the Rose O'Donnell Show earlier that day, where they discussed Mae West and being "trapped in your reputation". (<em>The Way Forward Is with a Broken Heart</em> opens with the following quote from Mae West: "I wrote the story myself. It's all about a girl who lost her reputation but never missed it.")	Speaker
0:14:58		Walker laughs.	Speaker
0:15:11		Walker laughs.	Speaker
0:15:18		Walker says she loves Mae West for her "one liners".	Speaker
