time in hr:min:sec	time in hr:min:sec	annotation
0:00:06	0:00:23	Walker says she had never heard of Whoopi Goldberg before a friend of her then-partner Robert Allen told her to see Goldberg perform at the Rose Theater.
0:00:23	0:00:38	Gussow and Walker seem to speculate that Goldberg read <em>The Color Purple</em> well before being cast in the film adaptation.
0:01:53	0:02:11	On writing about taboo subjects: "It's about libertation for me. It's about seeing an area in which people are not free and, having such a strong instinct for freedom and wanting people to have it, that it's almost unbearable to know someone's not having at least the possibility."
0:02:32	0:02:42	"Did you know that the first woman, Black woman, African woman in South Africa who publicly declared that she had AIDS was stoned to death by her community?"
0:02:42	0:04:44	Walker continues discussing the South African woman who was killed (<a href="https://www.nytimes.com/1998/12/28/world/neighbors-kill-an-hiv-positive-aids-activist-in-south-africa.html">Gugu Dlamini</a> before saying ultimately she doesn't yet know if this is something she should write about.
0:04:08	0:04:44	"I really do get it, that I've been given something really precious. I have to wait. I have to wait until I really know that it's time to use it. I can't just—and when it's clear that this is for me to do, then I can act."
0:04:05		Walker sighs.
0:05:06		Walker groans.
0:05:08	0:05:36	Walker says the "most painful" example of people using her is when she is asked to endorse or give blurbs for books: "Sometimes I feel it's just too much. I can't read all the books. I can't see all the films. I can't respond to all the requests for whatever."
0:06:06	0:05:53	Walker explains that she replaced a very "accommodating" assistant with one who was better able to reject external requests.
0:06:36	0:07:04	Walker says she has "such admiration" for Oprah Winfrey.
0:07:10	0:07:27	Walker explains that this interview is part of her book tour (for <em>The Way Forward Is with a Broken Heart</em>). She says she'll do a reading at Barnes and Noble later that evening and then move on to Boston, Seattle, Portland, Los Angeles, and then to the South.
0:07:30	0:07:38	Walker says she hasn't decided yet what she'll read at her reading that evening: "I've just got to wait until I get there and I feel how it feels. Then I'll know."
0:07:42		Walker laughs.
0:07:48	0:07:52	When asked if you can always "trust the moment", Walker says: "Well, it's the only thing you have."
0:07:55	0:10:37	Gussow suggests someone could ask a "very offensive question" at the reading, and Walker talks about how she responds in situations like that. She's unable to recall any specific instances when this happened, but says the "sting of the hostility" is lessened by her feelings of being aligned with her own principles.
0:08:48	0:08:52	Walker orders a chamomile tea.
0:09:26		Walker sighs.
0:08:11		Walker laughs.
0:08:14		Walker laughs.
0:10:47	0:10:52	On people who ask why she doesn't write "another <em>The Color Purple</em>": "Oh good grief. Why? That's like saying, 'why don't you have another child?' One is plenty."
0:11:02		Walker discusses her critics: "most of what they say is so superficial and boring, and it's not about what I'm writing about." She does say she enjoys reading good criticism of her work, including that by <a href="https://en.wikipedia.org/wiki/Deborah_E._McDowell">Deborah McDowell</a>.
